Task B2: Highest temperatures of all countries
Temperature,Year,Month,Country_Code
34.53(C) 94.16(F),2015,Aug,Saudi Arabia,SAU
34.61(C) 94.31(F),2015,Jun,Niger,NER
34.66(C) 94.4(F),2009,Jul,Algeria,DZA
34.68(C) 94.42(F),2015,Jun,Mauritania,MRT
35.03(C) 95.06(F),2015,May,Mali,MLI
35.19(C) 95.35(F),2012,Jul,United Arab Emirates,ARE
35.68(C) 96.22(F),2000,Jul,Iraq,IRQ
37.55(C) 99.59(F),2016,Jul,Qatar,QAT
38.29(C) 100.92(F),2016,Jul,Bahrain,BHR
38.57(C) 101.42(F),2016,Jul,Kuwait,KWT
